T0001_001_0	長阿含經序夫宗極絕於稱謂賢聖以之沖默玄旨
T0001_001_3690	及餘界上下與諸方放光施淨目具足於天身以歡
T0001_001_3700	施淨目具足於天身以歡喜淨音轉稱菩薩名佛告
T0001_001_3710	喜淨音轉稱菩薩名佛告比丘諸佛常法毗婆尸菩
T0001_001_3720	比丘諸佛常法毗婆尸菩薩當其生時從右脇出專
T0001_001_3730	薩當其生時從右脇出專念不亂時菩薩母手攀樹
T0001_001_3740	念不亂時菩薩母手攀樹枝不坐不臥時四天子手
T0001_001_3750	枝不坐不臥時四天子手奉香水於母前立言唯然
T0001_001_3760	奉香水於母前立言唯然天母今生聖子勿懷憂慼
T0001_001_3770	天母今生聖子勿懷憂慼此是常法爾時世尊而說
T0001_001_3780	此是常法爾時世尊而說偈言佛母不坐臥住戒修
T0001_001_3790	偈言佛母不坐臥住戒修梵行生尊不懈怠天人所
T0001_001_3800	梵行生尊不懈怠天人所奉侍佛告比丘諸佛常法
T0001_001_3810	奉侍佛告比丘諸佛常法毗婆尸菩薩當其生時從
T0001_001_3820	毗婆尸菩薩當其生時從右脇出專念不亂其身清
T0001_001_3830	右脇出專念不亂其身清淨不為穢惡之所汙染猶
T0001_001_3840	淨不為穢惡之所汙染猶如有目之士以淨明珠投
T0001_001_3850	如有目之士以淨明珠投白繒上兩不相汙二俱淨
T0001_001_3860	白繒上兩不相汙二俱淨故菩薩出胎亦復如是此
T0001_001_3870	故菩薩出胎亦復如是此是常法爾時世尊而說偈
T0001_001_3880	是常法爾時世尊而說偈言猶如淨明珠投繒不染
T0001_001_3890	言猶如淨明珠投繒不染汙菩薩出胎時清淨無染
T0001_001_3900	汙菩薩出胎時清淨無染汙佛告比丘諸佛常法毗
T0001_001_3910	汙佛告比丘諸佛常法毗婆尸菩薩當其生時從右
T0001_001_3920	婆尸菩薩當其生時從右脇出專念不亂從右脇出
T0001_001_3930	脇出專念不亂從右脇出墮地行七步無人扶侍遍
T0001_001_3940	墮地行七步無人扶侍遍觀四方舉手而言天上天
T0001_001_3950	觀四方舉手而言天上天下唯我為尊要度眾生生
T0001_001_3960	下唯我為尊要度眾生生老病死此是常法爾時世
T0001_001_3970	老病死此是常法爾時世尊而說偈言猶如師子步
T0001_001_3980	尊而說偈言猶如師子步遍觀於四方墮地行七步
T0001_001_3990	遍觀於四方墮地行七步人師子亦然又如大龍行
T0001_001_4000	人師子亦然又如大龍行遍觀於四方墮地行七步
T0001_001_4010	遍觀於四方墮地行七步人龍亦復然兩足尊生時
T0001_001_4020	人龍亦復然兩足尊生時安行於七步觀四方舉聲
T0001_001_4030	安行於七步觀四方舉聲當盡生死苦當其初生時
T0001_001_4040	當盡生死苦當其初生時無等等與等自觀生死本
T0001_001_4050	無等等與等自觀生死本此身最後邊佛告比丘諸
T0001_001_4060	此身最後邊佛告比丘諸佛常法毗婆尸菩薩當其
T0001_001_4070	佛常法毗婆尸菩薩當其生時從右脇出專念不亂
T0001_001_4080	生時從右脇出專念不亂二泉湧出一溫一冷以供
T0001_001_4090	二泉湧出一溫一冷以供澡浴此是常法爾時世尊
T0001_001_4100	澡浴此是常法爾時世尊而說偈言兩足尊生時二
T0001_001_4110	而說偈言兩足尊生時二泉自涌出以供菩薩用遍
T0001_001_4120	泉自涌出以供菩薩用遍眼浴清淨二泉自涌出其
T0001_001_4130	眼浴清淨二泉自涌出其水甚清淨一溫二清冷以
T0001_001_4140	水甚清淨一溫二清冷以浴一切智太子初生父王
T0001_001_4150	浴一切智太子初生父王槃頭召集相師及諸道術
T0001_001_4160	槃頭召集相師及諸道術令觀太子知其吉凶時諸
T0001_001_4170	令觀太子知其吉凶時諸相師受命而觀即前披衣
T0001_001_4180	相師受命而觀即前披衣見有具相占曰有此相者
T0001_001_4190	見有具相占曰有此相者當趣二處必然無疑若在
T0001_001_4200	當趣二處必然無疑若在家者當為轉輪聖王王四
T0001_001_4210	家者當為轉輪聖王王四天下四兵具足以正法治
T0001_001_4220	天下四兵具足以正法治無有偏枉恩及天下七寶
T0001_001_4230	無有偏枉恩及天下七寶自至千子勇健能伏外敵
T0001_001_4240	自至千子勇健能伏外敵兵杖不用天下太平若出
T0001_001_4250	兵杖不用天下太平若出家學道當成正覺十號具
T0001_001_4260	家學道當成正覺十號具足時諸相師即白王言王
T0001_001_4270	足時諸相師即白王言王所生子有三十二相當趣
T0001_001_4280	所生子有三十二相當趣二處必然無疑在家當為
T0001_001_4290	二處必然無疑在家當為轉輪聖王若其出家當成
T0001_001_4300	轉輪聖王若其出家當成正覺十號具足佛時頌曰
T0001_001_4310	正覺十號具足佛時頌曰百福太子生相師之所記
T0001_001_4320	百福太子生相師之所記如典記所載趣二處無疑
T0001_001_4330	如典記所載趣二處無疑若其樂家者當為轉輪王
T0001_001_4340	若其樂家者當為轉輪王七寶難可獲為王寶自至
T0001_001_4350	七寶難可獲為王寶自至真金千輻具周匝金輞持
T0001_001_4360	真金千輻具周匝金輞持轉能飛遍行故名為天輪
T0001_001_4370	轉能飛遍行故名為天輪善調七牙住高廣白如雪
T0001_001_4380	善調七牙住高廣白如雪能善飛虛空名第二象寶
T0001_001_4390	能善飛虛空名第二象寶馬行周天下朝去暮還食
T0001_001_4400	馬行周天下朝去暮還食朱髦孔雀咽名為第三寶
T0001_001_4410	朱髦孔雀咽名為第三寶清淨琉璃珠光照一由旬
T0001_001_4420	清淨琉璃珠光照一由旬照夜明如晝名為第四寶
T0001_001_4430	照夜明如晝名為第四寶色聲香味觸無有與等者
T0001_001_4440	色聲香味觸無有與等者諸女中第一名為第五寶
T0001_001_4450	諸女中第一名為第五寶獻王琉璃寶珠玉及眾珍
T0001_001_4460	獻王琉璃寶珠玉及眾珍歡喜而貢奉名為第六寶
T0001_001_4470	歡喜而貢奉名為第六寶如轉輪王念軍眾速來去
T0001_001_4480	如轉輪王念軍眾速來去健疾如王意名為第七寶
T0001_001_4490	健疾如王意名為第七寶此名為七寶輪象馬純白
T0001_001_4500	此名為七寶輪象馬純白居士珠女寶典兵寶為七
T0001_001_4510	居士珠女寶典兵寶為七觀此無有厭五欲自娛樂
T0001_001_4520	觀此無有厭五欲自娛樂如象斷䩭靽出家成正覺
T0001_001_4530	如象斷䩭靽出家成正覺王有如是子二足人中尊
T0001_001_4540	王有如是子二足人中尊處世轉法輪道成無懈怠
T0001_001_4550	處世轉法輪道成無懈怠是時父王慇懃再三重問
T0001_001_4560	是時父王慇懃再三重問相師汝等更觀太子三十
T0001_001_4570	相師汝等更觀太子三十二相斯名何等時諸相師
T0001_001_4580	二相斯名何等時諸相師即披太子衣說三十二相
T0001_001_4590	即披太子衣說三十二相一者足安平足下平滿蹈
T0001_001_4600	一者足安平足下平滿蹈地安隱二者足下相輪千
T0001_001_4610	地安隱二者足下相輪千輻成就光光相照三者手
T0001_001_4620	輻成就光光相照三者手足網縵猶如鵝王四者手
T0001_001_4630	足網縵猶如鵝王四者手足柔軟猶如天衣五者手
T0001_001_4640	足柔軟猶如天衣五者手足指纖長無能及者六者
T0001_001_4650	足指纖長無能及者六者足跟充滿觀視無厭七者
T0001_001_4660	足跟充滿觀視無厭七者鹿膞腸上下𦟛直八者鈎
T0001_001_4670	鹿膞腸上下𦟛直八者鈎鎻骨骨節相鈎猶如鎻連
T0001_001_4680	鎻骨骨節相鈎猶如鎻連九者陰馬藏十者平立垂
T0001_001_4690	九者陰馬藏十者平立垂手過膝十一一一孔一毛
T0001_001_4700	手過膝十一一一孔一毛生其毛右旋紺琉璃色十
T0001_001_4710	生其毛右旋紺琉璃色十二毛生右旋紺色仰靡十
T0001_001_4720	二毛生右旋紺色仰靡十三身黃金色十四皮膚細
T0001_001_4730	三身黃金色十四皮膚細軟不受塵穢十五兩肩齊
T0001_001_4740	軟不受塵穢十五兩肩齊亭充滿圓好十六胸有萬
T0001_001_4750	亭充滿圓好十六胸有萬字十七身長倍人十八七
T0001_001_4760	字十七身長倍人十八七處平滿十九身長廣等如
T0001_001_4770	處平滿十九身長廣等如尼拘盧樹二十頰車如師
T0001_001_4780	尼拘盧樹二十頰車如師子二十一胸膺方整如師
T0001_001_4790	子二十一胸膺方整如師子二十二口四十齒二十
T0001_001_4800	子二十二口四十齒二十三方整齊平二十四齒密
T0001_001_4810	三方整齊平二十四齒密無間二十五齒白鮮明二
T0001_001_4820	無間二十五齒白鮮明二十六咽喉清淨所食眾味
T0001_001_4830	十六咽喉清淨所食眾味無不稱適二十七廣長舌
T0001_001_4840	無不稱適二十七廣長舌左右舐耳二十八梵音清
T0001_001_4850	左右舐耳二十八梵音清徹二十九眼紺青色三十
T0001_001_4860	徹二十九眼紺青色三十眼如牛王眼上下俱眴三
T0001_001_4870	眼如牛王眼上下俱眴三十一眉間白毫柔軟細澤
T0001_001_4880	十一眉間白毫柔軟細澤引長一尋放則右旋螺如
T0001_001_4890	引長一尋放則右旋螺如真珠三十二頂有肉髻是
T0001_001_4900	真珠三十二頂有肉髻是為三十二相即說頌曰善
T0001_001_4910	為三十二相即說頌曰善住柔軟足不蹈地跡現千
T0001_001_4920	住柔軟足不蹈地跡現千輻相莊嚴光色靡不具如
T0001_001_4930	輻相莊嚴光色靡不具如尼俱類樹縱廣正平等如
T0001_001_4940	尼俱類樹縱廣正平等如來未曾有祕密馬陰藏金
T0001_001_4950	來未曾有祕密馬陰藏金寶莊嚴身眾相互相暎雖
T0001_001_4960	寶莊嚴身眾相互相暎雖順俗流行塵土亦不汙天
T0001_001_4970	順俗流行塵土亦不汙天色極柔軟天蓋自然覆梵
T0001_001_4980	色極柔軟天蓋自然覆梵音身紫金如華始出池王
T0001_001_4990	音身紫金如華始出池王以問相師相師敬報王稱
T0001_001_5000	以問相師相師敬報王稱讚菩薩相舉身光明具手
T0001_001_5010	讚菩薩相舉身光明具手足諸支節中外靡不現食
T0001_001_5020	足諸支節中外靡不現食味盡具足身正不傾斜足
T0001_001_5030	味盡具足身正不傾斜足下輪相現其音如哀鸞𦟛
T0001_001_5040	下輪相現其音如哀鸞𦟛䏶形相具宿業之所成臂
T0001_001_5050	䏶形相具宿業之所成臂肘圓滿好眉目甚端嚴人
T0001_001_5060	肘圓滿好眉目甚端嚴人中師子尊威力最第一其
T0001_001_5070	中師子尊威力最第一其頰車方整臥脇如師子齒
T0001_001_5080	頰車方整臥脇如師子齒方整四十齊密中無間梵
T0001_001_5090	方整四十齊密中無間梵音未曾有遠近隨緣到平
T0001_001_5100	音未曾有遠近隨緣到平立不傾身二手摩捫膝毛
T0001_001_5110	立不傾身二手摩捫膝毛齊整柔軟人尊美相具一
T0001_001_5120	齊整柔軟人尊美相具一孔一毛生手足網縵相肉
T0001_001_5130	孔一毛生手足網縵相肉髻目紺青眼上下俱眴兩
T0001_001_5140	髻目紺青眼上下俱眴兩肩圓充滿三十二相具足
T0001_001_5150	肩圓充滿三十二相具足跟無高下鹿膞腸纖𦟛天
T0001_001_5160	跟無高下鹿膞腸纖𦟛天中天來此如象絕䩭靽解
T0001_001_5170	中天來此如象絕䩭靽解脫眾生苦處生老病死以
T0001_001_5180	脫眾生苦處生老病死以慈悲心故為說四真諦開
T0001_001_5190	慈悲心故為說四真諦開演法句義令眾奉至尊佛
T0001_001_5200	演法句義令眾奉至尊佛告比丘毗婆尸菩薩生時
T0001_001_5210	告比丘毗婆尸菩薩生時諸天在上於虛空中手執
T0001_001_5220	諸天在上於虛空中手執白蓋寶扇以障寒暑風雨
T0001_001_5230	白蓋寶扇以障寒暑風雨塵土佛時頌曰人中未曾
T0001_001_5240	塵土佛時頌曰人中未曾有生於二足尊諸天懷敬
T0001_001_5250	有生於二足尊諸天懷敬養奉寶蓋寶扇爾時父王
T0001_001_5260	養奉寶蓋寶扇爾時父王給四乳母一者乳哺二者
T0001_001_5270	給四乳母一者乳哺二者澡浴三者塗香四者娛樂
T0001_001_5280	澡浴三者塗香四者娛樂歡喜養育無有懈倦於是
T0001_001_5290	歡喜養育無有懈倦於是頌曰乳母有慈愛子生即
T0001_001_5300	頌曰乳母有慈愛子生即付養一乳哺一浴二塗香
T0001_001_5310	付養一乳哺一浴二塗香娛樂世間最妙香以塗人
T0001_001_5320	娛樂世間最妙香以塗人中尊為童子時舉國士女
T0001_001_5330	中尊為童子時舉國士女視無厭足於是頌曰多人
T0001_001_5340	視無厭足於是頌曰多人所敬愛如金像始成男女
T0001_001_5350	所敬愛如金像始成男女共諦觀視之無厭足為童
T0001_001_5360	共諦觀視之無厭足為童子時舉國士女眾共傳抱
T0001_001_5370	子時舉國士女眾共傳抱如觀寶華於是頌曰二足
T0001_001_5380	如觀寶華於是頌曰二足尊生時多人所敬愛展轉
T0001_001_5390	尊生時多人所敬愛展轉共傳抱如觀寶花香菩薩
T0001_001_5400	共傳抱如觀寶花香菩薩生時其目不眴如忉利天
T0001_001_5410	生時其目不眴如忉利天以不眴故名毗婆尸於是
T0001_001_5420	以不眴故名毗婆尸於是頌曰天中天不眴猶如忉
T0001_001_5430	頌曰天中天不眴猶如忉利天見色而正觀故號毗
T0001_001_5440	利天見色而正觀故號毗婆尸菩薩生時其聲清徹
T0001_001_5450	婆尸菩薩生時其聲清徹柔軟和雅如迦羅頻伽鳥
T0001_001_5460	柔軟和雅如迦羅頻伽鳥聲於是頌曰猶如雪山鳥
T0001_001_5470	聲於是頌曰猶如雪山鳥飲華汁而鳴其彼二足尊
T0001_001_5480	飲華汁而鳴其彼二足尊聲清徹亦然菩薩生時眼
T0001_001_5490	聲清徹亦然菩薩生時眼能徹視見一由旬於是頌
T0001_001_5500	能徹視見一由旬於是頌曰清淨業行報受天妙光
T0001_001_5510	曰清淨業行報受天妙光明菩薩目所見周遍一由
T0001_001_5520	明菩薩目所見周遍一由旬菩薩生時年漸長大在
T0001_001_5530	旬菩薩生時年漸長大在天正堂以道開化恩及庶
T0001_001_5540	天正堂以道開化恩及庶民名德遠聞於是頌曰童
T0001_001_5550	民名德遠聞於是頌曰童幼處正堂以道化天下決
T0001_001_5560	幼處正堂以道化天下決斷眾事務故號毗婆尸清
T0001_001_5570	斷眾事務故號毗婆尸清淨智廣博甚深猶大海悅
T0001_001_5580	淨智廣博甚深猶大海悅可於群生使智慧增廣於
T0001_001_5590	可於群生使智慧增廣於時菩薩欲出遊觀告勅御
T0001_001_5600	時菩薩欲出遊觀告勅御者嚴駕寶車詣彼園林巡
T0001_001_5610	者嚴駕寶車詣彼園林巡行遊觀御者即便嚴駕訖
T0001_001_5620	行遊觀御者即便嚴駕訖已還白今正是時太子即
T0001_001_5630	已還白今正是時太子即乘寶車詣彼園觀於其中
T0001_001_5640	乘寶車詣彼園觀於其中路見一老人頭白齒落面
T0001_001_5650	路見一老人頭白齒落面皺身僂拄杖羸步喘息而
T0001_001_5660	皺身僂拄杖羸步喘息而行太子顧問侍者此為何
T0001_001_5670	行太子顧問侍者此為何人答曰此是老人又問何
T0001_001_5680	人答曰此是老人又問何如為老答曰夫老者生壽
T0001_001_5690	如為老答曰夫老者生壽向盡餘命無幾故謂之老
T0001_001_5700	向盡餘命無幾故謂之老太子又問吾亦當爾不免
T0001_001_5710	太子又問吾亦當爾不免此患耶答曰然生必有老
T0001_001_5720	此患耶答曰然生必有老無有豪賤於是太子悵然
T0001_001_5730	無有豪賤於是太子悵然不悅即告侍者迴駕還宮
T0001_001_5740	不悅即告侍者迴駕還宮靜默思惟念此老苦吾亦
T0001_001_5750	靜默思惟念此老苦吾亦當有佛於是頌曰見老命
T0001_001_5760	當有佛於是頌曰見老命將盡拄杖而羸步菩薩自
T0001_001_5770	將盡拄杖而羸步菩薩自思惟吾未免此難爾時父
T0001_001_5780	思惟吾未免此難爾時父王問彼侍者太子出遊歡
T0001_001_5790	王問彼侍者太子出遊歡樂不耶答曰不樂又問其
T0001_001_5800	樂不耶答曰不樂又問其故答曰道逢老人是以不
T0001_001_5810	故答曰道逢老人是以不樂爾時父王默自思念昔
T0001_001_5820	樂爾時父王默自思念昔日相師占相太子言當出
T0001_001_5830	日相師占相太子言當出家今者不悅得無爾乎當
T0001_001_5840	家今者不悅得無爾乎當設方便使處深宮五欲娛
T0001_001_5850	設方便使處深宮五欲娛樂以悅其心令不出家即
T0001_001_5860	樂以悅其心令不出家即便嚴飾宮舘簡擇婇女以
T0001_001_5870	便嚴飾宮舘簡擇婇女以娛樂之佛於是頌曰父王
T0001_001_5880	娛樂之佛於是頌曰父王聞此言方便嚴宮舘增益
T0001_001_5890	聞此言方便嚴宮舘增益以五欲欲使不出家又於
T0001_001_5900	以五欲欲使不出家又於後時太子復命御者嚴駕
T0001_001_5910	後時太子復命御者嚴駕出遊於其中路逢一病人
T0001_001_5920	出遊於其中路逢一病人身羸腹大面目黧黑獨臥
T0001_001_5930	身羸腹大面目黧黑獨臥糞除無人瞻視病甚苦毒
T0001_001_5940	糞除無人瞻視病甚苦毒口不能言顧問御者此為
T0001_001_5950	口不能言顧問御者此為何人答曰此是病人問曰
T0001_001_5960	何人答曰此是病人問曰何如為病答曰病者眾痛
T0001_001_5970	何如為病答曰病者眾痛迫切存亡無期故曰病也
T0001_001_5980	迫切存亡無期故曰病也又曰吾亦當爾未免此患
T0001_001_5990	又曰吾亦當爾未免此患耶答曰然生則有病無有
T0001_001_6000	耶答曰然生則有病無有貴賤於是太子悵然不悅
T0001_001_6010	貴賤於是太子悵然不悅即告御者迴車還宮靜默
T0001_001_6020	即告御者迴車還宮靜默思惟念此病苦吾亦當爾
T0001_001_6030	思惟念此病苦吾亦當爾佛於是頌曰見彼久病人
T0001_001_6040	佛於是頌曰見彼久病人顏色為衰損靜默自思惟
T0001_001_6050	顏色為衰損靜默自思惟吾未免此患爾時父王復
T0001_001_6060	吾未免此患爾時父王復問御者太子出遊歡樂不
T0001_001_6070	問御者太子出遊歡樂不耶答曰不樂又問其故答
T0001_001_6080	耶答曰不樂又問其故答曰道逢病人是以不樂於
T0001_001_6090	曰道逢病人是以不樂於是父王默然思惟昔日相
T0001_001_6100	是父王默然思惟昔日相師占相太子言當出家今
T0001_001_6110	師占相太子言當出家今日不悅得無爾乎吾當更
T0001_001_6120	日不悅得無爾乎吾當更設方便增諸伎樂以悅其
T0001_001_6130	設方便增諸伎樂以悅其心使不出家即復嚴飾宮
T0001_001_6140	心使不出家即復嚴飾宮舘簡擇婇女以娛樂之佛
T0001_001_6150	舘簡擇婇女以娛樂之佛於是頌曰色聲香味觸微
T0001_001_6160	於是頌曰色聲香味觸微妙可悅樂菩薩福所致故
T0001_001_6170	妙可悅樂菩薩福所致故娛樂其中又於異時太子
T0001_001_6180	娛樂其中又於異時太子復勅御者嚴駕出遊於其
T0001_001_6190	復勅御者嚴駕出遊於其中路逢一死人雜色繒幡
T0001_001_6200	中路逢一死人雜色繒幡前後導引宗族親里悲號
T0001_001_6210	前後導引宗族親里悲號哭泣送之出城太子復問
T0001_001_6220	哭泣送之出城太子復問此為何人答曰此是死人
T0001_001_6230	此為何人答曰此是死人問曰何如為死答曰死者
T0001_001_6240	問曰何如為死答曰死者盡也風先火次諸根壞敗
T0001_001_6250	盡也風先火次諸根壞敗存亡異趣室家離別故謂
T0001_001_6260	存亡異趣室家離別故謂之死太子又問御者吾亦
T0001_001_6270	之死太子又問御者吾亦當爾不免此患耶答曰然
T0001_001_6280	當爾不免此患耶答曰然生必有死無有貴賤於是
T0001_001_6290	生必有死無有貴賤於是太子悵然不悅即告御者
T0001_001_6300	太子悵然不悅即告御者迴車還宮靜默思惟念此
T0001_001_6310	迴車還宮靜默思惟念此死苦吾亦當然佛時頌曰
T0001_001_6320	死苦吾亦當然佛時頌曰始見有人死知其復更生
T0001_001_6330	始見有人死知其復更生靜默自思惟吾未免此患
T0001_001_6340	靜默自思惟吾未免此患爾時父王復問御者太子
T0001_001_6350	爾時父王復問御者太子出遊歡樂不耶答曰不樂
T0001_001_6360	出遊歡樂不耶答曰不樂又問其故答曰道逢死人
T0001_001_6370	又問其故答曰道逢死人是故不樂於是父王默自
T0001_001_6380	是故不樂於是父王默自思念昔日相師占相太子
T0001_001_6390	思念昔日相師占相太子言當出家今日不悅得無
T0001_001_6400	言當出家今日不悅得無爾乎吾當更設方便增諸
T0001_001_6410	爾乎吾當更設方便增諸伎樂以悅其心使不出家
T0001_001_6420	伎樂以悅其心使不出家即復嚴飾宮舘簡擇婇女
T0001_001_6430	即復嚴飾宮舘簡擇婇女以娛樂之佛於是頌曰童
T0001_001_6440	以娛樂之佛於是頌曰童子有名稱婇女眾圍遶五
T0001_001_6450	子有名稱婇女眾圍遶五欲以自娛如彼天帝釋又
T0001_001_6460	欲以自娛如彼天帝釋又於異時復勑御者嚴駕出
T0001_001_6470	於異時復勑御者嚴駕出遊於其中路逢一沙門法
T0001_001_6480	遊於其中路逢一沙門法服持鉢視地而行即問御
T0001_001_6490	服持鉢視地而行即問御者此為何人御者答曰此
T0001_001_6500	者此為何人御者答曰此是沙門又問何謂沙門答
T0001_001_6510	是沙門又問何謂沙門答曰沙門者捨離恩愛出家
T0001_001_6520	曰沙門者捨離恩愛出家修道攝御諸根不染外欲
T0001_001_6530	修道攝御諸根不染外欲慈心一切無所傷害逢苦
T0001_001_6540	慈心一切無所傷害逢苦不慼遇樂不欣能忍如地
T0001_001_6550	不慼遇樂不欣能忍如地故號沙門太子曰善哉此
T0001_001_6560	故號沙門太子曰善哉此道真正永絕塵累微妙清
T0001_001_6570	道真正永絕塵累微妙清虛惟是為快即勑御者迴
T0001_001_6580	虛惟是為快即勑御者迴車就之爾時太子問沙門
T0001_001_6590	車就之爾時太子問沙門曰剃除鬚髮法服持鉢何
T0001_001_6600	曰剃除鬚髮法服持鉢何所志求沙門答曰夫出家
T0001_001_6610	所志求沙門答曰夫出家者欲調伏心意永離塵垢
T0001_001_6620	者欲調伏心意永離塵垢慈育群生無所侵嬈虛心
T0001_001_6630	慈育群生無所侵嬈虛心靜寞唯道是務太子曰善
T0001_001_6640	靜寞唯道是務太子曰善哉此道最真尋勑御者賷
T0001_001_6650	哉此道最真尋勑御者賷吾寶衣并及乘轝還白大
T0001_001_6660	吾寶衣并及乘轝還白大王我即於此剃除鬚髮服
T0001_001_6670	王我即於此剃除鬚髮服三法衣出家修道所以然
T0001_001_6680	三法衣出家修道所以然者欲調伏心意捨離塵垢
T0001_001_6690	者欲調伏心意捨離塵垢清淨自居以求道術於是
T0001_001_6700	清淨自居以求道術於是御者即以太子所乘寶車
T0001_001_6710	御者即以太子所乘寶車及與衣服還歸父王太子
T0001_001_6720	及與衣服還歸父王太子於後即剃除鬚髮服三法
T0001_001_6730	於後即剃除鬚髮服三法衣出家修道佛告比丘太
T0001_001_6740	衣出家修道佛告比丘太子見老病人知世苦惱又
T0001_001_6750	子見老病人知世苦惱又見死人戀世情滅及見沙
T0001_001_6760	見死人戀世情滅及見沙門廓然大悟下寶車時步
T0001_001_6770	門廓然大悟下寶車時步步中間轉遠縛著是真出
T0001_001_6780	步中間轉遠縛著是真出家是真遠離時彼國人聞
T0001_001_6790	家是真遠離時彼國人聞太子剃除鬚髮法服持鉢
T0001_001_6800	太子剃除鬚髮法服持鉢出家修道咸相謂言此道
T0001_001_6810	出家修道咸相謂言此道必真乃令太子捨國榮位
T0001_001_6820	必真乃令太子捨國榮位捐棄所重于時國中八萬
T0001_001_6830	捐棄所重于時國中八萬四千人往就太子求為弟
T0001_001_6840	四千人往就太子求為弟子出家修道佛時頌曰撰
T0001_001_6850	子出家修道佛時頌曰撰擇深妙法彼聞隨出家離
T0001_001_6860	擇深妙法彼聞隨出家離於恩愛獄無有眾結縛于
T0001_001_6870	於恩愛獄無有眾結縛于時太子即便納受與之遊
T0001_001_6880	時太子即便納受與之遊行在在教化從村至村從
T0001_001_6890	行在在教化從村至村從國至國所至之處無不恭
T0001_001_6900	國至國所至之處無不恭敬四事供養菩薩念言吾
T0001_001_6910	敬四事供養菩薩念言吾與大眾遊行諸國人間憒
T0001_001_6920	與大眾遊行諸國人間憒閙此非我宜何時當得離
T0001_001_6930	閙此非我宜何時當得離此群眾閑靜之處以求道
T0001_001_6940	此群眾閑靜之處以求道真尋獲志願於閑靜處專
T0001_001_6950	真尋獲志願於閑靜處專精修道復作是念眾生可
T0001_001_6960	精修道復作是念眾生可愍常處闇冥受身危脆有
T0001_001_6970	愍常處闇冥受身危脆有生有老有病有死眾苦所
T0001_001_6980	生有老有病有死眾苦所集死此生彼從彼生此緣
T0001_001_6990	集死此生彼從彼生此緣此苦陰流轉無窮我當何
T0001_001_7000	此苦陰流轉無窮我當何時曉了苦陰滅生老死復
T0001_001_7010	時曉了苦陰滅生老死復作是念生死何從何緣而
T0001_001_7020	作是念生死何從何緣而有即以智慧觀察所由從
T0001_001_7030	有即以智慧觀察所由從生有老死生是老死緣生
T0001_001_7040	生有老死生是老死緣生從有起有是生緣有從取
T0001_001_7050	從有起有是生緣有從取起取是有緣取從愛起愛
T0001_001_7060	起取是有緣取從愛起愛是取緣愛從受起受是愛
T0001_001_7070	是取緣愛從受起受是愛緣受從觸起觸是受緣觸
T0001_001_7080	緣受從觸起觸是受緣觸從六入起六入是觸緣六
T0001_001_7090	從六入起六入是觸緣六入從名色起名色是六入
T0001_001_7100	入從名色起名色是六入緣名色從識起識是名色
T0001_001_7110	緣名色從識起識是名色緣識從行起行是識緣行
T0001_001_7120	緣識從行起行是識緣行從癡起癡是行緣是為緣
T0001_001_7130	從癡起癡是行緣是為緣癡有行緣行有識緣識有
T0001_001_7140	癡有行緣行有識緣識有名色緣名色有六入緣六
T0001_001_7150	名色緣名色有六入緣六入有觸緣觸有受緣受有
T0001_001_7160	入有觸緣觸有受緣受有愛緣愛有取緣取有有緣
T0001_001_7170	愛緣愛有取緣取有有緣有有生緣生有老病死憂
T0001_001_7180	有有生緣生有老病死憂悲苦惱此苦盛陰緣生而
T0001_001_7190	悲苦惱此苦盛陰緣生而有是為苦集菩薩思惟苦
T0001_001_7200	有是為苦集菩薩思惟苦集陰時生智生眼生覺生
T0001_001_7210	集陰時生智生眼生覺生明生通生慧生證於時菩
T0001_001_7220	明生通生慧生證於時菩薩復自思惟何等無故老
T0001_001_7230	薩復自思惟何等無故老死無何等滅故老死滅即
T0001_001_7240	死無何等滅故老死滅即以智慧觀察所由生無故
T0001_001_7250	以智慧觀察所由生無故老死無生滅故老死滅有
T0001_001_7260	老死無生滅故老死滅有無故生無有滅故生滅取
T0001_001_7270	無故生無有滅故生滅取無故有無取滅故有滅愛
T0001_001_7280	無故有無取滅故有滅愛無故取無愛滅故取滅受
T0001_001_7290	無故取無愛滅故取滅受無故愛無受滅故愛滅觸
T0001_001_7300	無故愛無受滅故愛滅觸無故受無觸滅故受滅六
T0001_001_7310	無故受無觸滅故受滅六入無故觸無六入滅故觸
T0001_001_7320	入無故觸無六入滅故觸滅名色無故六入無名色
T0001_001_7330	滅名色無故六入無名色滅故六入滅識無故名色
T0001_001_7340	滅故六入滅識無故名色無識滅故名色滅行無故
T0001_001_7350	無識滅故名色滅行無故識無行滅故識滅癡無故
T0001_001_7360	識無行滅故識滅癡無故行無癡滅故行滅是為癡
T0001_001_7370	行無癡滅故行滅是為癡滅故行滅行滅故識滅識
T0001_001_7380	滅故行滅行滅故識滅識滅故名色滅名色滅故六
T0001_001_7390	滅故名色滅名色滅故六入滅六入滅故觸滅觸滅
T0001_001_7400	入滅六入滅故觸滅觸滅故受滅受滅故愛滅愛滅
T0001_001_7410	故受滅受滅故愛滅愛滅故取滅取滅故有滅有滅
T0001_001_7420	故取滅取滅故有滅有滅故生滅生滅故老死憂悲
T0001_001_7430	故生滅生滅故老死憂悲苦惱滅菩薩思惟苦陰滅
T0001_001_7440	苦惱滅菩薩思惟苦陰滅時生智生眼生覺生明生
T0001_001_7450	時生智生眼生覺生明生通生慧生證爾時菩薩逆
T0001_001_7460	通生慧生證爾時菩薩逆順觀十二因緣如實知如
