T0002_001_0	如是我聞一時佛在舍衛國祇樹給孤獨園爾時有
T0002_001_3620	爾時世尊而說頌曰菩薩降生時大地皆震動身相
T0002_001_3630	降生時大地皆震動身相如真金不染諸塵垢威德
T0002_001_3640	如真金不染諸塵垢威德大神通光明照一切幽暗
T0002_001_3650	大神通光明照一切幽暗業眾生而互得相見爾時
T0002_001_3660	業眾生而互得相見爾時世尊說此偈已告苾芻眾
T0002_001_3670	世尊說此偈已告苾芻眾言汝今諦聽彼菩薩摩訶
T0002_001_3680	言汝今諦聽彼菩薩摩訶薩右脇生時母無疲困不
T0002_001_3690	薩右脇生時母無疲困不坐不臥爾時菩薩大威德
T0002_001_3700	坐不臥爾時菩薩大威德大丈夫心不昏昧足不履
T0002_001_3710	大丈夫心不昏昧足不履地有四大天子捧童子身
T0002_001_3720	地有四大天子捧童子身爾時世尊而說頌曰菩薩
T0002_001_3730	爾時世尊而說頌曰菩薩降生時母意無散亂不坐
T0002_001_3740	降生時母意無散亂不坐亦不臥自在而適悅威德
T0002_001_3750	亦不臥自在而適悅威德大丈夫心離諸暗昧四天
T0002_001_3760	大丈夫心離諸暗昧四天捧其身足不履於地爾時
T0002_001_3770	捧其身足不履於地爾時世尊說此偈已告苾芻眾
T0002_001_3780	世尊說此偈已告苾芻眾言汝今諦聽彼菩薩摩訶
T0002_001_3790	言汝今諦聽彼菩薩摩訶薩右脇生時身體清淨如
T0002_001_3800	薩右脇生時身體清淨如瑠璃寶遠離一切膿血洟
T0002_001_3810	瑠璃寶遠離一切膿血洟唾不淨之物亦如摩尼珠
T0002_001_3820	唾不淨之物亦如摩尼珠憍尸迦衣諸塵垢等而不
T0002_001_3830	憍尸迦衣諸塵垢等而不能著爾時世尊而說頌曰
T0002_001_3840	能著爾時世尊而說頌曰菩薩降生時身器悉清淨
T0002_001_3850	菩薩降生時身器悉清淨遠離諸穢惡膿血洟唾等
T0002_001_3860	遠離諸穢惡膿血洟唾等譬如憍尸衣及彼摩尼寶
T0002_001_3870	譬如憍尸衣及彼摩尼寶瑩淨體光明塵垢皆不住
T0002_001_3880	瑩淨體光明塵垢皆不住爾時世尊說此偈已告苾
T0002_001_3890	爾時世尊說此偈已告苾芻眾言汝今諦聽彼菩薩
T0002_001_3900	芻眾言汝今諦聽彼菩薩摩訶薩右脇生時有二天
T0002_001_3910	摩訶薩右脇生時有二天子於虛空中降二種水一
T0002_001_3920	子於虛空中降二種水一冷二溫沐浴童子爾時世
T0002_001_3930	冷二溫沐浴童子爾時世尊而說頌曰菩薩降生時
T0002_001_3940	尊而說頌曰菩薩降生時空中有二天沐浴童子身
T0002_001_3950	空中有二天沐浴童子身降彼二種水溫冷各相宜
T0002_001_3960	降彼二種水溫冷各相宜表圓於福慧成就大無畏
T0002_001_3970	表圓於福慧成就大無畏普徧視眾生爾時世尊說
T0002_001_3980	普徧視眾生爾時世尊說此偈已告苾芻眾言汝今
T0002_001_3990	此偈已告苾芻眾言汝今諦聽彼菩薩摩訶薩右脇
T0002_001_4000	諦聽彼菩薩摩訶薩右脇生時具三十二相身色端
T0002_001_4010	生時具三十二相身色端嚴眼根清淨見十由旬爾
T0002_001_4020	嚴眼根清淨見十由旬爾時世尊而說頌曰菩薩降
T0002_001_4030	時世尊而說頌曰菩薩降生時諸相悉具足目淨復
T0002_001_4040	生時諸相悉具足目淨復端嚴遠視十由旬爾時世
T0002_001_4050	端嚴遠視十由旬爾時世尊說此偈已告苾芻眾言
T0002_001_4060	尊說此偈已告苾芻眾言彼菩薩摩訶薩右脇生時
T0002_001_4070	彼菩薩摩訶薩右脇生時見忉利天彼天帝釋見此
T0002_001_4080	見忉利天彼天帝釋見此童子是真佛身執白傘蓋
T0002_001_4090	童子是真佛身執白傘蓋覆童子身寒熱風塵一切
T0002_001_4100	覆童子身寒熱風塵一切諸惡而不能侵爾時世尊
T0002_001_4110	諸惡而不能侵爾時世尊而說頌曰童子初生時遠
T0002_001_4120	而說頌曰童子初生時遠視於忉利帝釋復覩之手
T0002_001_4130	視於忉利帝釋復覩之手執白傘蓋即來覆其身寒
T0002_001_4140	執白傘蓋即來覆其身寒熱風日等及彼諸毒惡一
T0002_001_4150	熱風日等及彼諸毒惡一切不能侵爾時世尊說此
T0002_001_4160	切不能侵爾時世尊說此偈已告苾芻眾言汝今諦
T0002_001_4170	偈已告苾芻眾言汝今諦聽彼菩薩摩訶薩右脇生
T0002_001_4180	聽彼菩薩摩訶薩右脇生時本母乳母養母及諸宮
T0002_001_4190	時本母乳母養母及諸宮人圍繞保護澡浴塗香種
T0002_001_4200	人圍繞保護澡浴塗香種種承奉爾時世尊而說頌
T0002_001_4210	種承奉爾時世尊而說頌曰童子初生時乳養有三
T0002_001_4220	曰童子初生時乳養有三母及彼諸宮人四面常圍
T0002_001_4230	母及彼諸宮人四面常圍繞澡浴復塗香令彼常安
T0002_001_4240	繞澡浴復塗香令彼常安隱如是晝夜中無暫而捨
T0002_001_4250	隱如是晝夜中無暫而捨離爾時世尊說此偈已告
T0002_001_4260	離爾時世尊說此偈已告苾芻眾言汝今諦聽彼菩
T0002_001_4270	苾芻眾言汝今諦聽彼菩薩摩訶薩右脇生時身色
T0002_001_4280	薩摩訶薩右脇生時身色端嚴具三十二相滿度摩
T0002_001_4290	端嚴具三十二相滿度摩王即召相師占其童子婆
T0002_001_4300	王即召相師占其童子婆羅門言若令在家受灌頂
T0002_001_4310	羅門言若令在家受灌頂輪王之位主四天下具足
T0002_001_4320	輪王之位主四天下具足千子威德無畏不以兵杖
T0002_001_4330	千子威德無畏不以兵杖弓劒能降他軍若復出家
T0002_001_4340	弓劒能降他軍若復出家堅固修行成正等覺爾時
T0002_001_4350	堅固修行成正等覺爾時世尊而說頌曰相師婆羅
T0002_001_4360	世尊而說頌曰相師婆羅門占此天童子告彼父王
T0002_001_4370	門占此天童子告彼父王言具相三十二如月出眾
T0002_001_4380	言具相三十二如月出眾星世間甚希有若常在宮
T0002_001_4390	星世間甚希有若常在宮殿必紹轉輪位主領四大
T0002_001_4400	殿必紹轉輪位主領四大洲復生千太子如是出家
T0002_001_4410	洲復生千太子如是出家時速成無上覺爾時世尊
T0002_001_4420	時速成無上覺爾時世尊說此偈已告苾芻眾言汝
T0002_001_4430	說此偈已告苾芻眾言汝今諦聽彼菩薩摩訶薩右
T0002_001_4440	今諦聽彼菩薩摩訶薩右脇生時身真金色諸相端
T0002_001_4450	脇生時身真金色諸相端嚴如水生蓮塵垢不著一
T0002_001_4460	嚴如水生蓮塵垢不著一切有情瞻仰不足所出言
T0002_001_4470	切有情瞻仰不足所出言音微妙細密清雅流美譬
T0002_001_4480	音微妙細密清雅流美譬如雪山迦尾囉鳥食花而
T0002_001_4490	如雪山迦尾囉鳥食花而醉所出音聲雅妙清響眾
T0002_001_4500	醉所出音聲雅妙清響眾生聞者無不愛樂童子言
T0002_001_4510	生聞者無不愛樂童子言音亦復如是爾時世尊而
T0002_001_4520	音亦復如是爾時世尊而說頌曰童子初生時身相
T0002_001_4530	說頌曰童子初生時身相真金色亦如紅蓮華塵垢
T0002_001_4540	真金色亦如紅蓮華塵垢不能染言音甚微妙如迦
T0002_001_4550	不能染言音甚微妙如迦尾羅聲眾人得聞之愛樂
T0002_001_4560	尾羅聲眾人得聞之愛樂無厭足爾時世尊說此偈
T0002_001_4570	無厭足爾時世尊說此偈已告苾芻眾言汝今諦聽
T0002_001_4580	已告苾芻眾言汝今諦聽彼菩薩摩訶薩為童子時
T0002_001_4590	彼菩薩摩訶薩為童子時遠離邪妄心意純直自覺
T0002_001_4600	遠離邪妄心意純直自覺覺他恒行正法眾人侍奉
T0002_001_4610	覺他恒行正法眾人侍奉如帝釋天主宗敬父母由
T0002_001_4620	如帝釋天主宗敬父母由此名為毘婆尸爾時世尊
T0002_001_4630	此名為毘婆尸爾時世尊而說頌曰毘婆尸如來為
T0002_001_4640	而說頌曰毘婆尸如來為彼童子時通達大智慧遠
T0002_001_4650	彼童子時通達大智慧遠離於邪妄自覺及覺他修
T0002_001_4660	離於邪妄自覺及覺他修習正法行眾人常愛敬如
T0002_001_4670	習正法行眾人常愛敬如彼帝釋天侍養於父母名
T0002_001_4680	彼帝釋天侍養於父母名聞滿世間是名毘婆尸利
T0002_001_4690	聞滿世間是名毘婆尸利益諸含識
