T1799_001_0001	首楞嚴經疏序大佛頂密因了義首楞嚴經者乃竺乾之洪範法苑之寶典也
T1799_001_0282	通序竟二別序者諸經不同發起各別或放光微笑乞食入禪自唱位號勸人令問等
T1799_001_0283	今經由夏滿眾集主臣請齋慶喜外歸無供循乞因遭婬室邪術所加自無定慧不能降伏
T1799_001_0284	由是外假祕密攝護令歸意顯生死輪迴莫過淫愛超證聖位豈逾定慧
T1799_001_0285	定慧內具祕密外資塵颺順風有何艱險文有四一夏制圓成眾求密義
T1799_001_0286	屬諸比丘休夏自恣屬值遇會也聖禁三月滿在此日故云休夏也
T1799_001_0287	自迷所犯恣任僧舉當悔清淨故云自恣制限恣法如律所明
T1799_001_0288	十方菩薩諮決心疑欽奉慈嚴將求密義具云菩提薩埵此云覺有情
T1799_001_0289	此有三釋一菩提所求果薩埵所度生二菩提所求果薩埵能求人三菩提覺悟智薩埵情慮識總約悲智能所真妄以立名也
T1799_001_0290	此等安居非止一處故云十方限內修行莫盡通達從師指授夏滿方遂故云諮決心疑
T1799_001_0291	恭敬遵承故曰欽奉恩念威重故曰慈嚴將求密義者意請宣說如來密因修證了義之法門也
T1799_001_0292	二師資感應教演真乘即時如來敷座宴安非禪不慧故先入定為後軌也
T1799_001_0293	即敷尼師壇靜然安坐如金剛法華皆先入定後方始說常法爾也
T1799_001_0294	為諸會中宣示深奧前求密義今宣深奧隨其所問皆與說示
T1799_001_0295	如法華先說無量義經以為一乘之本今此會中亦復如是必有經目隱而不言也法筵清眾得求曾有
T1799_001_0296	教主既非生滅心行說實相法能聽之眾亦無一法可為領受稱實說聽無有垢染故云清眾斯為究竟無上法會故未曾有
T1799_001_0297	迦陵仙音遍十方界佛聲和雅眾所愛樂聽之無厭如迦陵頻伽在於㲉鳴勝餘鳥故堪喻佛聲此鳥非常故云仙也
T1799_001_0298	遍十方界者顯其圓義如來梵音於諸相中最為勝故如別處說恒沙菩薩來聚道場文殊師利而為上首
T1799_001_0299	正云曼殊室利此云妙吉祥或妙德下文將神呪揀圓通與奪眾心無私不伏智德之尊故標上首
T1799_001_0300	前文十方菩薩咨決心疑今此復云恒沙來聚者或因結上首重指前文或因前說法聲遍十方
T1799_001_0301	後始來集二義無在三王臣請供主伴分臨時波斯匿王為其父王諱日營齋請佛宮掖自迎如來廣設珍羞無上妙味兼復親延
T1799_001_0302	諸大菩薩具云鉢羅斯那恃多此云勝君先王崩日忌諱之晨故云諱日即自恣後之一日也
T1799_001_0303	諱忌也以忌舉吉事諱避其名宮掖內庭也后妃居所在天子左右如肘腋耳王之宮禁策掖者所居故
T1799_001_0304	城中復有長者居士同時飯僧佇佛來應佛勅文殊分領菩薩及阿羅漢應諸齋主十德具足三品居財故云長者居士
T1799_001_0305	又守道自怡寡欲蘊德故曰居士佛為化主王請須臨臣為輔佐餘聖可赴
T1799_001_0306	四慶喜無齋入城循乞二一歸園無請唯有阿難先受別請遠遊未還不遑僧次
T1799_001_0307	阿難此云歡喜佛初出家淨飯憂惱聞子成道王大忻然復有斛飯奏云生兒舉國大喜因立斯號
T1799_001_0308	又彼端正或語或默行住坐臥進止動轉見者咸喜故云歡喜
T1799_001_0309	先受別請者涅槃經說不受別請乃不隨佛受別請耳或因他事而非齋也遑假也
T1799_001_0310	既無上座及阿闍梨途中獨歸其日無供同輩上下曰上座
T1799_001_0311	阿闍梨此云軌範謂與眾中作軌範故二入國循求三一平等行乞二一正行平等以循乞
T1799_001_0312	即時阿難執持應器於所遊城次第循乞當日初分乞食易得故云即時
T1799_001_0313	鉢多羅此云應量器色與體量皆應法度也無問淨穢故云次第順於軌則故云循乞
T1799_001_0314	乞食十利如寶雨經說心中初求最後檀越以為齋主無問淨穢剎利尊姓及旃陀羅方行等慈不擇微賤發意圓成一切眾生無量功德
T1799_001_0315	檀越此云施者阿難乞食意祈末後來請僧者我當赴彼故曰齋主
T1799_001_0316	淨穢即剎利旃陀也剎帝利此云田主即王種也故云尊姓
T1799_001_0317	旃陀羅此云殺者即魁膾婬酒家也方法也軌則如來行平等慈不取貴擇賤俾施者見者得福無量
T1799_001_0318	二仰效無遮以除謗阿難已知如來世尊訶須菩提及大迦葉為阿羅漢心不均平欽仰如來開闡無遮度諸疑謗
T1799_001_0319	迦葉波此云飲光氏上古元祖是仙身有光明吞蔽燈光人皆異之曰飲光仙因立族姓尊者頭陀上行第一故云大也
T1799_001_0320	不均平者善現捨貧從富迦葉捨富從貧皆為淨名所訶今言如來者就其印可功歸佛也
T1799_001_0321	然佛常乞食無遮間者由五義故一由內證平等理外不見貧富相二心離貪慢慈無偏利三表威德不懼惡象沽酒婬女家四息凡夫猜嫌五破二乘分別故得仰效行平等耳
T1799_001_0322	度疑謗者即息凡夫猜嫌也經彼城隍徐步郭門嚴整威儀肅恭齋法
T1799_001_0323	城之濠塹曰隍齋莊齊整不失威儀安靜恭謹足成令則
T1799_001_0324	以斯行乞物無不從仰効尊儀故云齋法也二示遇惡緣爾時阿難因乞食次經歷婬室遭大幻術
T1799_001_0325	摩登伽女以娑毘迦羅先梵天呪攝入婬席婬躬撫摩將毀戒體爾時此時也
T1799_001_0326	摩登伽義翻本姓下經云性比丘尼是也婆毘迦羅亦云劫毘羅此言金頭或云黃髮食米齊外道也
T1799_001_0327	師事梵天而得此呪呪是梵天先說外道施行世人諷習以為幻術
T1799_001_0328	將毀戒體者別解脫戒白四所發形願業體體即無作從作戒生是第三聚非色非心為戒所依持之則肥犯之則羸故云戒體
T1799_001_0329	阿難無心遭逼入舍欲犯未犯故云將毀若據下云八萬行中只毀一戒心清淨故尚未淪溺應知阿難不毀吉羅緣起如別
T1799_001_0330	三佛垂哀救三一齋畢歸園如來知彼婬術所加齋畢旋歸王及大臣長者居士俱來隨佛願聞法要如來知者知即是見也
T1799_001_0331	謂以生死智明不二天眼見也如來常儀受請齋了皆為說法今日速歸知佛必有所為故隨而來願聞法要
T1799_001_0332	然大眾根熟妙悟是時不有因緣無由發起故託慶喜婬逼摩登愛纏俾知生死輪迴貪欲為本修證常樂禪慧是基
T1799_001_0333	故下文中天龍八部有學二乘及諸一切新發心菩薩其數凡有十恒河沙聞是法已皆得本心遠塵離垢獲法眼淨
T1799_001_0334	性比丘尼成阿羅漢無量眾生發無上道心等是知機應相扣啐啄同時形對像現故無差濫
T1799_001_0335	二放光說呪于時世尊頂放百寶無畏光明光中出生千葉寶蓮有佛化身結跏趺坐宣說神呪歸園既畢主伴咸臻於此之際故曰于時
T1799_001_0336	佛頂體也寂無相故光明相也具性德故蓮華用也成萬行故化佛果也理智行三所成就故
T1799_001_0337	宣神呪者自果既圓說利他故又釋迦顯果海無說頂光蓮現表大定智悲三法冥熏而起大用故現化佛說神呪也
T1799_001_0338	三遣呪往救勅文殊師利將呪往護惡呪銷滅提獎阿難及摩登伽歸來佛所提携獎勸也
T1799_001_0339	文殊顯傳佛旨密護阿難先令登伽見佛離欲聞法增道意顯呪力不可思議也
T1799_001_0340	如下文云彼尚婬女無心修行神力冥資速證無學何況汝等在會聲聞求最上乘決定成佛等序分竟
T1799_001_0341	次下正宗分由阿難正請如來正說解行圓滿不偏不邪當機得益也文三一阿難悲恨請修三昧
T1799_001_0342	阿難見佛頂禮悲泣恨無始來一向多聞未全道力多聞習定止觀雙修
T1799_001_0343	若但偏攻豈全道力故涅槃云先以定動後以慧拔
T1799_001_0344	定如縛賊慧如殺賊定慧雙運目足更資到清涼池保無留難
T1799_001_0345	佛與阿難空王佛時同發大心為樂多聞匪勤修習
T1799_001_0346	佛今成道我始入流仍值惡緣不能免脫良由偏失誠可悲夫
T1799_001_0347	故下文云汝聞微塵佛一切祕密門欲漏不先除畜聞成過誤
T1799_001_0348	殷勤啟請十方如來得成菩提妙奢摩他三摩禪那最初方便如來極證人也
T1799_001_0349	菩提極證法也人法雙舉者簡所請行非眇劣耳奢摩他云止三摩提云觀禪那云靜慮
T1799_001_0350	釋其相者如圓覺經此三種義只在一心非三而三不一而一舉一即具故稱為妙即天台一心三觀也
T1799_001_0351	此觀若成即證涅槃三德名祕密藏故舉十方如來得成菩提等
T1799_001_0352	最初方便者然方便多種今問成佛妙行復云最初者意請成妙行之方便也
T1799_001_0353	淺深雖異俱方便爾如圓覺經方便隨順圓攝所歸即有三種此指妙行即方便也
T1799_001_0354	如下經文佛問圓通從何方便入三摩地即指入妙行之方便也
T1799_001_0355	今文請即通問下文答則別說如下文云有大佛頂首楞嚴等即許說成道妙行也
T1799_001_0356	復先徵詰發心推逐妄執破群疑顯藏性令信解不謬
T1799_001_0357	阿難因此了悟發菩提心等此即信解真正成本起因
T1799_001_0358	若無此因縱歷多劫修諸行門皆成邪僻猶如煮沙欲成嘉饌終不能得
T1799_001_0359	故圓覺中示三觀顯諸輪一一皆云悟淨圓覺此經亦爾從初至第四卷半已來則總明信解真正為最初方便也
T1799_001_0360	信解雖正明識藏心多聞無功不逮修習如得大宅罔知入門故請修行從何攝伏
T1799_001_0361	佛即具辨止觀為正修法止觀成處名真三昧入此行時須有方便方便之法不離根門入一無妄餘皆清淨故問二十五聖
T1799_001_0362	復勅文殊令揀此即以根門順機為最初方便如下文云我今欲令阿難開悟二十五聖誰當其根
T1799_001_0363	何方便門得易成就此則的取從聞思修為初方便
T1799_001_0364	最初之義先解後行無出於斯或可最初是無上第一之義即指真定為方便耳如別有說吾弗知也二同時大眾俱欲欽聞
T1799_001_0365	於時復有恒沙菩薩及諸十方大阿羅漢辟支佛等俱願樂聞如渴思冷水如飢思飲食如病思良藥如眾蜂依蜜我等亦如是願聞甘露法
T1799_001_0366	退坐默然承受聖旨大眾欲聞假其請主三乘賢聖八部王臣潔已虛心收視返聽而寂默也
T1799_001_0367	智論偈云聽者端視如渴飲一心入於語義中踊躍聞法心悲喜如是之人可為說
T1799_001_0368	斯受聖旨豈令不然此下如來乘機廣為開演古人科判各是一途春蘭秋菊互檀其美振公八段資中顯稱
T1799_001_0369	今詳經文復有理在文中前後兩度說經初從此去至標經名是酬問正說分次從說是語已下至不戀三界為請益
T1799_001_0370	再陳分初有四段一開妙解二示妙行三顯妙位四立妙名
T1799_001_0371	此四即八段中前五科開合之異也次再陳中有二一辨趣生差別二示禪境差別
T1799_001_0372	即八中後三段也然開判之設各隨其人吾今從古依振公判略沒第八但取七名
T1799_001_0373	今初顯如來藏心二一破阿難認妄迷真顯如來藏二一正約心見以破顯五一審其初心二一問發心之始
T1799_001_0374	佛告阿難汝我同氣情均天倫慶喜是佛堂弟祖父相傳亦名同氣或可但是兄弟同一氣類也
T1799_001_0375	兄弟之序上下相次恩愛相屬蓋自然而然非使之然也故曰均天倫倫理均等也
T1799_001_0376	當初發心於我法中見何勝相頓捨世間深恩愛父母妻子
T1799_001_0377	是恩愛之深者世人以捨麁重恩愛為其至道而不知修行見愛尚是妄心故審問之
T1799_001_0378	後方推破二答捨愛之緣阿難白佛我見如來三十二相勝妙殊絕形體映徹猶如瑠璃
T1799_001_0379	如來大相有三十二謂足下安平至頂成肉髻小相有八十種謂無見頂至手足有德相從大相海流出小相故名為好
T1799_001_0380	釋梵輪王亦有大相然無其好暗昧不明不名勝妙殊絕形狀體質清淨無垢喻瑠璃也
T1799_001_0381	常自思惟此相非是欲愛所生從戒定慧所成就故故非欲愛
T1799_001_0382	何以故欲氣麁濁腥臊交遘膿血雜亂欲愛之生純是不淨
T1799_001_0383	大集經中具說受生皆由父母與己識情互生愛欲由是託彼赤白二滴為識所依一處和合名歌羅邏
T1799_001_0384	而漸增長至於出胎五穀長養雖成人相如革囊盛糞故云膿血雜亂
T1799_001_0385	不能發生勝淨妙明紫金光聚閻浮檀金展轉比至迦葉身金猶如聚墨
T1799_001_0386	若比佛身迦葉如墨欲愛所招終非如此是以渴仰從佛剃落勝相妙絕知非愛生思渴瞻仰故求捨愛
T1799_001_0387	願從佛化俾易妙身斯不知以愛捨愛轉增妄矣二彰其妄夫二一總彰淪溺佛言善哉
T1799_001_0388	阿難汝等當知一切眾生從無始來生死相續久成積苦也
T1799_001_0389	二別釋因由二一迷真皆由不知常住真心性淨明體迷自本真也
T1799_001_0390	無始晦殊故曰不知不生不滅名為常住離諸偽妄靈鑒不昧故曰真心
T1799_001_0391	三德具足為一切法之所依止故云性淨明體眾生悉爾故曰皆由二認妄
T1799_001_0392	用諸妄想此想不真故有輪轉認他虛想也下文云此是前塵虛妄相想惑汝真性
T1799_001_0393	從無始來認賊為子失汝元常故受輪轉舉世修行多同此計故託阿難總彰其失
T1799_001_0394	三勸其直語三一正勸汝今欲研無上菩提真發明性應當直心詶我所問
T1799_001_0395	下文識精元明即是無始菩提涅槃元清淨體此體非妄無有變異故云真性研究窮也
T1799_001_0396	淨名云直心是道場無虛假故今推本意豈得異想發言欲正修行當須確實故今勸也
T1799_001_0397	二引證十方如來同一道故出離生死皆以直心諸佛同道脫苦得樂
T1799_001_0398	皆由直心者此有二種一發言無虛假如此文所勸淨名道場二向理之心無別岐路即如起信三心之直心也
T1799_001_0399	故論云一者直心正向真如法故此為二行根本也
T1799_001_0400	今此經意須具二焉始令發言無妄終成向理心絕方為十方同道
T1799_001_0401	三結益心言直故如是乃至終始地位中間永無諸委曲相因苗辨地言直心直苟或反此罪非輕小
T1799_001_0402	如下經云若大妄語即三摩提不得清淨成愛見魔失如來種
T1799_001_0403	若諸比丘心如直絃一切真實入三摩地永無魔事我印是人成就菩薩無上知覺也
T1799_001_0404	發心曰始究竟名終彈指能超故無委曲四問其見愛二一問
T1799_001_0405	阿難我今問汝當汝發心緣於如來三十二相將何所見
T1799_001_0406	誰為愛樂心見兩門由茲所問下既認心不迭指見謬稱故成二障為纏三空罔契
T1799_001_0407	故下徵詰俾識妄源二答阿難白佛言世尊如是愛樂用我心目
T1799_001_0408	單牒雙指巧略故也由目觀見如來勝相心生愛樂故我發心願捨生死
T1799_001_0409	此正陳妄體也目即眼根心即意識根識虛妄猶如空華
T1799_001_0410	若執有體能見能樂豈唯迷於法空亦起人我見愛
T1799_001_0411	故下文云六為賊媒自劫家寶無始虛習住地無明皆由根識更非他物
T1799_001_0412	想相為塵識情為垢生死輪轉莫不由斯故下推徵令知虛妄
T1799_001_0413	五辨其真妄二一推妄所在七一破在內二一立四一牒前以語
T1799_001_0414	佛告阿難如汝所說真所愛樂因于心目若不識知心目所在則不能得降伏塵勞
T1799_001_0415	心目是本塵勞為末若迷本之依處群末難除染污故名塵擾惱故名勞即通指二障也
T1799_001_0416	二舉事以況譬如國王真性也為賊所侵煩惱迷真也
T1799_001_0417	發兵討除用智也是兵要當知賊所在兵人所執器也
T1799_001_0418	三示過以問使汝流轉心目為咎示過也吾今問汝唯心與目今何所在
T1799_001_0419	總問所依也四引例以答二一引他為例阿難白佛言世尊
T1799_001_0420	一切世間十種異生同將識心居在身內縱觀如來青蓮華眼亦在佛面
T1799_001_0421	下文有十二類今舉大數凡夫造業不同感果差別名為異生
T1799_001_0422	一切世間者舉依顯正也前舉凡心在內後指佛眼在面欲取例己亦復然也二指已結答
T1799_001_0423	我今觀此浮根四塵秖在我面如是識心實居身內以眼根色是不可見故指浮根
T1799_001_0424	聖凡既爾在己必然面與身中心眼定處也二破二一正破三一舉事定其所見
T1799_001_0425	三一問境內外佛告阿難汝今現坐如來講堂觀祇陀林今何所在世尊
T1799_001_0426	此大重閣清淨講堂在給孤園今祇陀林實在堂外堂在園中林居堂外內外既分計宗危矣
T1799_001_0427	二定見先後阿難汝今堂中先何所見世尊我在堂中先見如來次觀大眾如是外望方矚林園
T1799_001_0428	定先後者欲破阿難在內之心不能如此次第見故
T1799_001_0429	三審見因由阿難汝矚林園因何有見世尊此大講堂戶牖開豁故我在堂得遠瞻見
T1799_001_0430	講堂身也阿難心也如來大眾五藏也戶牖根也二示益安其所懷
T1799_001_0431	爾時世尊在大眾中舒金色臂摩阿難頂以慈攝也如父囑子拊背而告
T1799_001_0432	此有三意一安慰其心令無恐懼二囑其諦受令無忘失三示今許說無有虛妄故舒其手現慈相也
T1799_001_0433	告示阿難及諸大眾有三摩提名大佛頂首楞嚴王具足萬行十方如來一門超出妙莊嚴路
T1799_001_0434	下云十方薄伽梵一路涅槃門直道無異通至寶所故云一門
T1799_001_0435	清淨果海眾德具足故曰莊嚴真三摩地因行所履故名為路汝今諦聽
T1799_001_0436	阿難頂禮伏受慈旨破妄意欲顯真故略標宗嘆德令其忻慕豈謂徒然譴責罔知所歸
T1799_001_0437	於是阿難伏而諦受三引例明其所失三一引例正問
T1799_001_0438	佛告阿難如汝所言身在講堂戶牖開豁遠矚林園亦有眾生在此堂中不見如來見堂外者反常理以致問引
T1799_001_0439	慶喜以直答二依理以答阿難答言世尊在堂不見如來能見林泉無有是處
T1799_001_0440	只知據理直申不覺計宗危矣三合喻奪破三一正奪阿難汝亦如是心在身內如人在堂
T1799_001_0441	汝之心靈一切明了若汝現前所明了心實在身內爾時先合了知內身頗有眾生先見身中後觀外物心能靈鑒內外俱緣故云一切明了
T1799_001_0442	向外既了萬緣在內合知藏腑頗猶可也亦語辭也汝觀眾生可有此者二縱破
T1799_001_0443	縱不能見心肝脾胃爪生髮長筋轉脈搖誠合明了如何不知腑藏內密
T1799_001_0444	設使不知筋脈膚淺寧容難了三反責必不內知云何知外
T1799_001_0445	五藏同居最為親眤萬象離異誠謂疎遙若使不了身中豈合能觀外物
T1799_001_0446	二結破是故應知汝言覺了能知之心住在身內無有是處
T1799_001_0447	境風外動妄想內熏識浪潛生為自心相空華幻化起滅無從不了本如遂成久執
T1799_001_0448	及推所在妄謂身中反覆窮研理無所據故佛結指令悟其非
T1799_001_0449	二破在外二一立二一正立阿難稽首而白佛言我聞如來如是法音悟知我心實居身外身中無救身外必然
T1799_001_0450	不遇尊言莫悟斯旨故稽首於佛謝非立是也以頭至地稽留少時故名稽首二釋成二一引喻領悟前非所以者何
T1799_001_0451	譬如燈光然於室中是燈必能先照室內從其室門後及庭際引喻例法伏受前非也
T1799_001_0452	二躡喻成立今義一切眾生不見身中獨見身外亦如燈光居在室外不能照室
T1799_001_0453	室外之燭不及內明身外之心何能反照此計心有離身之過故下破之
T1799_001_0454	是義必明將無所惑同佛了義得無妄耶身外之理法喻正齊以此觀之合無疑暗
T1799_001_0455	佛說了義可得同乎二破二一正破二一引例立理二一一多同飽問
T1799_001_0456	佛告阿難是諸比丘適來從我室羅筏城循乞摶食歸祇陀林我已宿齋汝觀比丘一人食時諸人飽不
T1799_001_0457	前云赴請此云乞食者乞食乃是常儀泛舉為喻又前雖赴請未必僧盡餘人乞食故舉此也
T1799_001_0458	宿預也二自他殊體答阿難答言不也世尊何以故
T1799_001_0459	是諸比丘雖阿羅漢軀命不同云何一人能令眾飽
T1799_001_0460	前問一食眾飽今答軀命不同反前問也意顯心若離身即同他食
T1799_001_0461	他食既非我飽心知何關我身身心相外自他可例
T1799_001_0462	二據理推破二一以理定其相外佛告阿難若汝覺了知見之心實在身外牒也
T1799_001_0463	身心相外自不相干定其相外外猶離也心既離身不相干涉
T1799_001_0464	如前所答一人食時不令眾飽則心所知身不能覺覺在身際心不能知釋成其相
T1799_001_0465	心若在外理合如是文顯可見二約見驗其相知我今示汝兜羅綿手汝眼見時心分別不
T1799_001_0466	阿難答言如是世尊佛告阿難若相知者云何在外
T1799_001_0467	具云兜沙羅此云霜佛手柔軟如兜羅綿三十二相中一相也
T1799_001_0468	眼屬身分心若離者合不分別若分別者應不離身
T1799_001_0469	以不離故名為相知故此責云若相知者云何在外
T1799_001_0470	二結破是故應知汝言覺了能知之心住在身外無有是處
T1799_001_0471	可知三破潛根二一立三一述前所破汎立一處阿難白佛言世尊
T1799_001_0472	如佛所言不見內故不居身內身心相知不相離故不在身外
T1799_001_0473	我今思惟知在一處雙敘別立文顯易知二問今所立答在諸根佛言處今何在
T1799_001_0474	阿難言此了知心既不知內而能見外如我思忖潛伏根裏知外而不知內非根而何此即妄計識心潛五根裏
T1799_001_0475	三舉喻所成復伸潛理二一舉喻合法猶如有人取琉璃椀合其兩眼雖有物合而不留礙彼根隨見隨即分別
T1799_001_0476	瑠璃喻根眼喻於識眼根色淨不能礙心同瑠璃椀不礙於眼隨照一境心隨根知
T1799_001_0477	若此成立乍觀可爾洎乎推破同喻不成二據理成立
T1799_001_0478	然我覺了能知之心不見內者為在根故分明矚外無障礙者潛根內故但知妄計不覺隨語過生
T1799_001_0479	下文即破二破二一正破三一躡喻定其俱見佛告阿難如汝所言潛根內者猶如瑠璃
T1799_001_0480	略牒語簡可以意知彼人當以瑠璃籠眼當見山河見瑠璃不
T1799_001_0481	如是世尊是人當以瑠璃籠眼實見瑠璃遠觀物像近見琉璃
T1799_001_0482	問答極成故云如是二據法責其獨觀佛告阿難汝心若同瑠璃合者當見山河何不見眼
T1799_001_0483	喻則近遠俱見法則唯見山河既失近觀何成同喻
T1799_001_0484	法喻不等潛根理虧下更縱破令無所據三縱見不見咸失
T1799_001_0485	若見眼者眼即同境不得成隨設使見眼即成敵對云何前言隨即分別
T1799_001_0486	此有自語相違過也若不能見云何說言此了知以潛在根內如琉璃合結成法喻不齊過也
T1799_001_0487	二過既彰潛根理喪二結破是故應知汝言覺了能知之心潛伏根裏如瑠璃合無有是處
T1799_001_0488	四破見內二一約見暗以成立阿難白佛言世尊我今又作如是思惟是眾生身腑藏在中竅穴居外有藏則暗有竅則明
T1799_001_0489	今我對佛開眼見明名為見外閉眼見闇名為見內是義云何
T1799_001_0490	此中立意復宗歸內最先所計心在身中佛即推徵不合在內以不能見身中物故由此轉計身外潛根及至窮研二俱不當
T1799_001_0491	再思理道在內義長遂立藏暗竅明責無不見內過七竅明露五藏黯然開竅緣明合眼對暗明暗
T1799_001_0492	若見內外俱緣由是在內決無所惑二約對眼以推破二一難破二一破前計二一雙徵
T1799_001_0493	佛告阿難汝當閉眼見暗之時此暗境界為與眼對
T1799_001_0494	為不對眼徵訖二雙破二一破對二一對眼不屬內
T1799_001_0495	若與眼對暗在眼前云何成內對眼在前前豈成內
T1799_001_0496	二外室成焦腑若成內者居暗室中無日月燈此室暗中皆汝焦腑
T1799_001_0497	若謂不論前後但是見暗便即內者汝處幽室無三光時比室黯然應是汝內以同暗故焦腑即內也
T1799_001_0498	應立量云汝處幽室應汝焦腑以是暗故同汝見暗
T1799_001_0499	二破不對若不對者云何成見未曾見有境不對眼而稱見物
T1799_001_0500	二破轉計二一牒計奪破若離外見內對所成牒轉計也
T1799_001_0501	此計由前以暗室暗例眼前暗不合成內恐彼計云我所見暗與暗室暗二體不同
T1799_001_0502	何也彼暗室暗是身外暗名為外見以是開眼之所緣故
T1799_001_0503	我所見暗是身內境名為內對以是合眼之所緣故今取合眼所對之暗名為見內非同所見
T1799_001_0504	室中暗爾如何不得見暗名內故此牒也然諸師敘計殊不分明蓋譯人巧略但牒而已有智請詳無執麻矣
T1799_001_0505	合眼見暗名為身中開眼見明何不見面若不見面內對不成奪破也
T1799_001_0506	設許合眼對暗名見身中亦應開眼對明而見自面
T1799_001_0507	內屬於暗尚許返見面屬於明豈無返見一成則俱成一破則俱破故云若不見面內對不成
T1799_001_0508	二展轉縱破四一在空非內同他破見面若成此了知心及與眼根乃在虛空何成在內
T1799_001_0509	若在虛空自非汝體設汝執言能見面者汝心及眼應處虛空以根境相對方成見故
T1799_001_0510	若許處空顯是在外如何復執心居身內又若在空即同他人自然不是汝之心體
T1799_001_0511	此之二過應立量云汝之心靈定不在內見汝面故猶如他人
T1799_001_0512	破次過者但改宗云定非汝體因喻如前二他見還同己體破
T1799_001_0513	即應如來今見汝面亦是汝身汝或執言雖見我面定是我體
T1799_001_0514	即復破云佛亦見汝應是汝身應立量云如來之身定是汝體見汝面故如汝心眼
T1799_001_0515	設或不許佛身是汝汝之心眼亦非是汝便同前文自非汝體也
T1799_001_0516	三根身互闕能知破汝眼已知身合非覺又若汝心能見面者本分身處應無知覺以在眼根處虛空故
T1799_001_0517	身若有覺眼必無知在一不在一經文巧略故不言也
T1799_001_0518	四二覺應成兩佛破必汝執言身眼兩覺應有二知即汝一身應成兩佛
T1799_001_0519	汝現今眼根自知身處自覺非互闕者須有二心知即心也凡是有心皆當作佛豈汝一身成兩佛耶
T1799_001_0520	此之四段展轉破逐皆由前文內對所成見面之執妄情紛擾執計多端故盡破之令無所救二結破是故應知汝言見暗名見內者無有是處
T1799_001_0521	五破隨合二一引經成立阿難言我常聞佛開示四眾由心生故種種法生由法生故種種心生
T1799_001_0522	引教也第八本識變生三境故云心生法生境界風動能起識浪故云法生心生
T1799_001_0523	今雖通舉要取後句法生心生以為據也我今思惟即思惟體實我心性隨所合處心則隨有亦非內外中間三處
T1799_001_0524	現今思惟誠有緣慮及推所止三處元非應知隨境而生心與境合境既不一心亦隨多頗合佛言必無虛論
T1799_001_0525	二牒計推破二一正破二一破無體佛告阿難汝今說言由法生故種種心生隨所合處心隨有者牒前計也
T1799_001_0526	是心無體則無所合既言因法有心應知心本無體無體言合理必不然一法云何合斯之謂矣
T1799_001_0527	若無有體而能合者則十九界因七塵合是義不然
T1799_001_0528	若汝堅執無體能合十九界第七塵體畢竟無亦應有合世間學者誰信有之故云不然
T1799_001_0529	二破有體二一內外出入不成破二一正奪破若有體者如汝以手自挃其體
T1799_001_0530	汝所知心為復內出為從外入若復內出還見身中
T1799_001_0531	若從外來先合見面挃陟栗切猶觸也以手觸身必先知覺
T1799_001_0532	既言有體不無所止內外二處必從一緣故今雙詰難同前破
T1799_001_0533	二破轉救二初救阿難言見是其眼心知非眼為見非義轉救也
T1799_001_0534	若如前難令見面等理恐不然以心能鑒覺但名為知眼有照明方稱曰見
T1799_001_0535	若將心知為眼見者必無此理故云非義二破佛言若眼能見汝在室中門能見不引喻難也
T1799_001_0536	如世間人稱見外者必待出門方名人見若人居室門豈自見門眼也
T1799_001_0537	人心也汝稱眼見理恐不然則諸已死尚有眼存應皆見物
T1799_001_0538	若見物者云何名死舉事破也若眼名見死者眼存
T1799_001_0539	心識離體豈說有見有見非死死必無見稱見在眼不其謬哉
T1799_001_0540	二一多遍局非理破二一總徵阿難又汝覺了能知之心若必有體為復一體
T1799_001_0541	為有多體今在汝身為復遍體為不遍體一多心體也遍局身體也
T1799_001_0542	餘文可知二別破二一一體多體義失若一體者則汝以手挃一支時四支應覺若咸覺者挃應無在
T1799_001_0543	若挃有所則汝一體自不能成破一也心體若一四處咸同一支受觸四應俱覺
T1799_001_0544	設許俱覺失本觸處故云無在若覺元所觸處一體之義豈存
T1799_001_0545	若多體者則成多人何體為汝破多也汝心惟一豈合言多
T1799_001_0546	若許多心汝亦多體多體之內誰為阿難故云何體為汝二
T1799_001_0547	遍與不遍理非若遍體者同前所挃破遍也挃一支時四支應覺故云同前
T1799_001_0548	若不遍者當汝觸頭亦觸其足頭有所覺足應無知今汝不然破不遍也
T1799_001_0549	若汝執心不遍身者頭足之觸同時而下一合有覺一當不知今汝咸知孰成不遍
T1799_001_0550	故云今汝不然二結破是故應知隨所合處心則隨有無有是處
T1799_001_0551	六破中間二一引經成立阿難白佛言世尊我亦聞佛與文殊等諸法王子談實相時
T1799_001_0552	世尊亦言心不在內亦不在外引教文也如我思惟內無所見外不相知內無知故在內不成身心相知在外非義合教理也
T1799_001_0553	不相知者合云外又相知恐文誤耳今相知故復內無見當在中間正立中也
T1799_001_0554	二據理推破二一推破二一就身處以隨破二一定其中位
T1799_001_0555	佛言汝言中間中必不迷非無所在今汝推中中何為在
T1799_001_0556	為復在處為當在身若心在中中應無惑必有所在何者為中
T1799_001_0557	故舉身處以定中位二隨計斥破二一在身無中破
T1799_001_0558	若在身者在邊非中在中同內若汝於身立中位者身有中邊若居身中與內何別
T1799_001_0559	應合見內若就身邊邊則非中便有自語相違過也
T1799_001_0560	二在處不定破若在處者為有所表為無所表無表同無表則無定
T1799_001_0561	何以故如人以表表為中時東看則西南觀成北表體既混心應雜亂
